"provincia_origen","provincia_destino","cantidad_migrantes"
"Amba","San Juan",5697
"Buenos Aires Interior","San Juan",1364
"Catamarca","San Juan",216
"Chaco","San Juan",202
"Chubut","San Juan",908
"Cordoba","San Juan",2897
"Corrientes","San Juan",156
"Entre Rios","San Juan",187
"Formosa","San Juan",256
"Jujuy","San Juan",352
"La Pampa","San Juan",159
"La Rioja","San Juan",3616
"Mendoza","San Juan",4438
"Misiones","San Juan",240
"Neuquen","San Juan",804
"Rio Negro","San Juan",559
"Salta","San Juan",619
"San Luis","San Juan",1566
"Santa Cruz","San Juan",1646
"Santa Fe","San Juan",435
"Santiago Del Estero","San Juan",143
"Tierra Del Fuego","San Juan",1158
"Tucuman","San Juan",405
"Amba","San Luis",18870
"Buenos Aires Interior","San Luis",2999
"Catamarca","San Luis",179
"Chaco","San Luis",267
"Chubut","San Luis",642
"Cordoba","San Luis",9519
"Corrientes","San Luis",304
"Entre Rios","San Luis",452
"Formosa","San Luis",194
"Jujuy","San Luis",319
"La Pampa","San Luis",1360
"La Rioja","San Luis",1141
"Mendoza","San Luis",12007
"Misiones","San Luis",289
"Neuquen","San Luis",779
"Rio Negro","San Luis",498
"Salta","San Luis",452
"San Juan","San Luis",2209
"Santa Cruz","San Luis",824
"Santa Fe","San Luis",1927
"Santiago Del Estero","San Luis",269
"Tierra Del Fuego","San Luis",458
"Tucuman","San Luis",296
"Amba","Santa Cruz",10418
"Buenos Aires Interior","Santa Cruz",3596
"Catamarca","Santa Cruz",1319
"Chaco","Santa Cruz",2005
"Chubut","Santa Cruz",6423
"Cordoba","Santa Cruz",3798
"Corrientes","Santa Cruz",2621
"Entre Rios","Santa Cruz",988
"Formosa","Santa Cruz",4452
"Jujuy","Santa Cruz",2505
"La Pampa","Santa Cruz",372
"La Rioja","Santa Cruz",1183
"Mendoza","Santa Cruz",2879
"Misiones","Santa Cruz",2518
"Neuquen","Santa Cruz",1117
"Rio Negro","Santa Cruz",1778
"Salta","Santa Cruz",6760
"San Juan","Santa Cruz",1247
"San Luis","Santa Cruz",358
"Santa Fe","Santa Cruz",1673
"Santiago Del Estero","Santa Cruz",1140
"Tierra Del Fuego","Santa Cruz",1348
"Tucuman","Santa Cruz",1654
"Amba","Santa Fe",26140
"Buenos Aires Interior","Santa Fe",16243
"Catamarca","Santa Fe",381
"Chaco","Santa Fe",10015
"Chubut","Santa Fe",1535
"Cordoba","Santa Fe",25758
"Corrientes","Santa Fe",6743
"Entre Rios","Santa Fe",12629
"Formosa","Santa Fe",2238
"Jujuy","Santa Fe",722
"La Pampa","Santa Fe",588
"La Rioja","Santa Fe",400
"Mendoza","Santa Fe",1697
"Misiones","Santa Fe",3279
"Neuquen","Santa Fe",1291
"Rio Negro","Santa Fe",1378
"Salta","Santa Fe",2377
"San Juan","Santa Fe",485
"San Luis","Santa Fe",1196
"Santa Cruz","Santa Fe",2321
"Santiago Del Estero","Santa Fe",5479
"Tierra Del Fuego","Santa Fe",1704
"Tucuman","Santa Fe",1245
"Amba","Santiago Del Estero",23227
"Buenos Aires Interior","Santiago Del Estero",5111
"Catamarca","Santiago Del Estero",2718
"Chaco","Santiago Del Estero",2357
"Chubut","Santiago Del Estero",581
"Cordoba","Santiago Del Estero",6409
"Corrientes","Santiago Del Estero",354
"Entre Rios","Santiago Del Estero",288
"Formosa","Santiago Del Estero",286
"Jujuy","Santiago Del Estero",391
"La Pampa","Santiago Del Estero",323
"La Rioja","Santiago Del Estero",342
"Mendoza","Santiago Del Estero",538
"Misiones","Santiago Del Estero",433
"Neuquen","Santiago Del Estero",388
"Rio Negro","Santiago Del Estero",313
"Salta","Santiago Del Estero",1877
"San Juan","Santiago Del Estero",199
"San Luis","Santiago Del Estero",158
"Santa Cruz","Santiago Del Estero",1145
"Santa Fe","Santiago Del Estero",3720
"Tierra Del Fuego","Santiago Del Estero",716
"Tucuman","Santiago Del Estero",6600
"Amba","Tierra Del Fuego",9968
"Buenos Aires Interior","Tierra Del Fuego",5064
"Catamarca","Tierra Del Fuego",269
"Chaco","Tierra Del Fuego",2108
"Chubut","Tierra Del Fuego",935
"Cordoba","Tierra Del Fuego",3378
"Corrientes","Tierra Del Fuego",1480
"Entre Rios","Tierra Del Fuego",1016
"Formosa","Tierra Del Fuego",1817
"Jujuy","Tierra Del Fuego",2124
"La Pampa","Tierra Del Fuego",175
"La Rioja","Tierra Del Fuego",232
"Mendoza","Tierra Del Fuego",1714
"Misiones","Tierra Del Fuego",2276
"Neuquen","Tierra Del Fuego",335
"Rio Negro","Tierra Del Fuego",580
"Salta","Tierra Del Fuego",3809
"San Juan","Tierra Del Fuego",995
"San Luis","Tierra Del Fuego",338
"Santa Cruz","Tierra Del Fuego",1439
"Santa Fe","Tierra Del Fuego",1589
"Santiago Del Estero","Tierra Del Fuego",816
"Tucuman","Tierra Del Fuego",2417
"Amba","Tucuman",17643
"Buenos Aires Interior","Tucuman",2477
"Catamarca","Tucuman",4016
"Chaco","Tucuman",450
"Chubut","Tucuman",768
"Cordoba","Tucuman",2621
"Corrientes","Tucuman",328
"Entre Rios","Tucuman",273
"Formosa","Tucuman",225
"Jujuy","Tucuman",2432
"La Pampa","Tucuman",177
"La Rioja","Tucuman",887
"Mendoza","Tucuman",1296
"Misiones","Tucuman",438
"Neuquen","Tucuman",896
"Rio Negro","Tucuman",1212
"Salta","Tucuman",5550
"San Juan","Tucuman",342
"San Luis","Tucuman",214
"Santa Cruz","Tucuman",1858
"Santa Fe","Tucuman",1069
"Santiago Del Estero","Tucuman",7044
"Tierra Del Fuego","Tucuman",2102
